バス停ID,バス停名称,バス停名称(英語),バス停コード,説明(日本語),説明(英語),緯度,経度,料金区間ID,乗降場所に関するURL,駅ID,車椅子乗降可能か,標準地域コード
54,磯部口（北）,isobeguchi,"","","",35.952354,136.241089,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
55,戸口,tonokuchi,"","","",35.952362,136.246353,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
56,別司口,besshiguchi,"","","",35.949047,136.257309,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
57,別司,besshi,"","","",35.948803,136.259628,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
58,河和田口,kawadaguchi,"","","",35.948715,136.267838,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
59,河和田,kawada,"","","",35.949532,136.269836,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
60,莇生田口（北）,azoudaguchi,"","","",35.948151,136.271927,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
61,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（東）,kawadakomyuniteィsent?,"","","",35.951012,136.274445,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
62,うるしの里会館,urushinosatokaikan,"","","",35.953178,136.274216,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
63,河和田小学校前（中山公園レストハウス）,kawadashougakkoumae,"","","",35.953854,136.277969,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
64,金谷口（北）,kanadaniguchi,"","","",35.954277,136.282043,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
65,北中（北）,kitanaka,"","","",35.954308,136.284439,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
66,寺中,jichuu,"","","",35.954597,136.289703,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
67,尾花,obana,"","","",35.952206,136.294693,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
68,ラポーゼかわだ（南）,rapozekawada,"","","",35.948242,136.301361,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
69,ラポーゼかわだ（北）,rapozekawada,"","","",35.948772,136.301361,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
70,北中（南）,kitanaka,"","","",35.954227,136.284424,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
71,金谷口（南）,kanadaniguchi,"","","",35.954151,136.281921,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
72,河和田小学校前（中山公園レストハウス）,kawadashougakkoumae,"","","",35.953754,136.278046,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
73,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（西）,kawadakomyuniteィsent?,"","","",35.950996,136.274307,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
74,莇生田口（南）,azoudaguchi,"","","",35.948009,136.271896,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
75,磯部口（南）,isobeguchi,"","","",35.952263,136.240509,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
